id,Name,Info,Discount,Price
73,JOIE,可攜式嬰兒床/遊戲床-MOMO限定版,74折,"2,888元"
74,贈奶泡機★飛利浦,全自動義式咖啡機(HD8650),67折,"9,999元"
75,GOA,天然無毒橡膠★輕量化懶人平底休閒防水鞋(多色任選),6折,890元
76,OSmei,脫皮大師 最強足膜 6盒/12雙入(蜂王漿/維生素B12/黑曜石),58折,699元
77,鬍鬚張-挑戰全通路最便宜,黃金粹魯200g/雞絲200g任選5包組,84折,568元
78,media 媚點,極上粉嫩保濕粉底霜4入組 ,44折,899元
79,優迷,輕巧手機摺疊支架,75折,249元
80,綠寶,雙認證綠藻片360粒x4瓶 好藻組(加贈40粒),65折,"1,380元"
81,HeatAX,冰冰漆頂級隔熱奈米塗料 4.75加侖裝,81折,"8,999元"
82,兩入組,極度防曬黑膠晴雨反向傘(UPF50),98折,699元
83,IRIS,熱銷12入超值組-日式透明鞋盒(高/矮款任選),32折,"1,599元"
84,Philips 飛利浦,Hi-Res頭戴式旗艦耳機(X2HR),79折,"3,990元"
85,德國樂美思★買10送12,PH5.5極致修護凍齡霜50mlX10入,38折,"1,899元"
86,tokuyo,煥眼冷熱眼部按摩器 (刷mo卡10%回饋),87折,"3,499元"
87,超值2入組,Apple原廠品質Lightning傳輸線,63折,399元
88,康乃馨,Hi-Water 水濕巾80片x24包/箱,81折,649元
89,4小抽1大抽,日系附輪五層抽屜櫃/公文櫃/活動櫃-4色可選,77折,990元
90,Roots,女款 精選大學T(多款可選),37折,"1,000元"
91,LG 樂金,191公升◆二級能效變頻單門冰箱◆精緻銀(GN-Y200SV),81折,"8,888元"
92,Coosur 山富,冷壓特級初榨橄欖油1000mlx3瓶,53折,790元
93,Apple,2019款AirPods藍牙耳機 (AirPods 2代搭配充電盒)(MV7N2TA/A),73折,"4,390元"
94,永信藥品,健康優見高單位葉黃素軟膠囊(金盞花萃取物x5瓶 升級版),5折,995元
95,大成,黃金脆皮雞腿排50片,92折,"1,950元"
96,KINYO,6開6插+3開3插安全延長線1.8M(居家辦公超值2入組),71折,499元
97,資生堂,安耐曬金鑽高效防曬露A 3X版60ml+12ml(SPF50+.PA++++),61折,699元
98,雲米,10公斤WiFi洗脫烘變頻滾筒洗衣機 WD10SA-G1B(小米生態鏈),9折,"14,388元"
99,GIGABYTE 技嘉,17吋i7 10代SSD 1650Ti電競,78折,"32,999元"
100,黑丸嫩仙草,2公升/桶8桶組(愛玉全糖/仙草任選全糖或微糖),71折,799元
101,阿桐伯,漢宮龜鹿膠,46折,"2,799元"
102,BRILLMOND,GIA1克拉八心八箭鑽戒(18K白金台),71折,"99,000元"
103,obis護脊透氣,親膚二線蜂巢獨立筒床墊(21cm)-雙人,95折,"3,990元"
104,Bio-essence 碧歐斯,BIO水感舒緩微礦能量噴霧300ML(4入),33折,899元
105,FUJI-GRACE,寬口陶瓷噴層冰爆運動搖搖杯750ML,55折,769元
106,adidas 愛迪達,adidas 女生運動長褲  TIGHT,59折,890元
107,德國樂美思★買10送12,PH5.5極致修護凍齡霜50mlX10入,38折,"1,899元"
108,tokuyo,煥眼冷熱眼部按摩器 (刷mo卡10%回饋),87折,"3,499元"
109,4小抽1大抽,日系附輪五層抽屜櫃/公文櫃/活動櫃-4色可選,77折,990元
110,康乃馨,Hi-Water 水濕巾80片x24包/箱,81折,649元
111,超值2入組,Apple原廠品質Lightning傳輸線,63折,399元
112,Roots,女款 精選大學T(多款可選),37折,"1,000元"
113,Coosur 山富,冷壓特級初榨橄欖油1000mlx3瓶,53折,790元
114,LG 樂金,191公升◆二級能效變頻單門冰箱◆精緻銀(GN-Y200SV),81折,"8,888元"
115,SEBAMED 施巴,PH5.5潔膚露1000ml兩入組(壓頭版),62折,999元
116,Michael Kors,品牌經典 斜背包/後背包/肩背包(多款多色任選),43折,"2,999元"
117,KAFEN 卡氛,亞希朵酸性蛋白洗髮精800mlX3(多款任選),19折,899元
118,crayola 繪兒樂,冰雪奇緣2大藝術家套裝,76折,990元
119,Waymax威瑪智能,TY20兒童數位相機(2英寸高解析螢幕 可愛主題相框 內建遊戲 耐摔設計),87折,699元
120,illy,中焙咖啡豆x3罐組(250g/罐),6折,811元
121,SAMSUNG 三星,Galaxy A51 6G/128G 6.5吋 智慧型手機,8折,"8,590元"
122,礁溪東旅集團,東遊驛棧全新開幕!!暖心湯泉雙人樓中樓車庫房,42折,"1,899元"
123,買2送2★Jealousness 婕洛妮絲,抗UV防曬素顏霜30ml*2,47折,"1,099元"
124,15吋十代SSD窄框RTX電競,15吋十代SSD窄框RTX電競,94折,"33,900元"
125,滿意寶寶,瞬潔乾爽紙尿褲 XL 168片/箱 加贈瞬潔乾爽輕巧褲XL 6片,93折,"1,435元"
126,SK-II,青春露330ml,65折,"5,199元"
127,LEVIS,X LEGO 樂高積木Logo上衣(中性款多色選),75折,"1,118元"
128,美膳雅,Elemental 8杯 玩味輕鬆打食物處理機(FP-8SVTW),72折,"2,680元"
129,Tonia Nicole東妮寢飾,特暖防蹣抗菌頂級100%法國3kg羊毛被(雙人),96折,"2,390元"
130,ONE HOUSE,下開式帶輪收納箱6入,86折,"1,599元"
131,NEW BALANCE,US 6-8.5 女鞋 413 經典透氣跑鞋 W413CN1 / W413CL1,65折,"1,299元"
132,聿健,NMN軟硬關鍵活力膠囊30粒(5入組),11折,"1,380元"
133,Apple 蘋果,Apple Watch Series6 40公釐 GPS版(鋁金屬錶殼搭配運動錶帶),95折,"13,399元"
134,贈4年份HEPA濾網★飛利浦,WIFI清淨機,5折,"9,999元"
135,德國雙人,壓力鍋6L(贈義大利製不沾鍋28cm),42折,"3,999元"
136,SLIM抗菌舒眠型,日本銀纖維記憶乳膠透氣獨立筒床-雙人5尺,4折,"4,990元"
137,統一LP33,健字號益生菌膠囊30顆*4盒,78折,"2,999元"
138,品木宣言,青春無敵光潤機能水200mlx2,51折,"1,499元"
139,Amazfit 華米,米動GTR 47mm Lite陶瓷運動心率智能手錶,74折,"2,995元"
140,FitFlop,彈力中底完美包覆休閒鞋/時尚涼拖鞋 (多款任選),39折,"1,800元"
141,金車,礦沛氣泡水585ml-24罐x3箱(共72入),75折,898元
142,SEBAMED 施巴,PH5.5潔膚露1000ml兩入組(壓頭版),62折,999元
143,Michael Kors,品牌經典 斜背包/後背包/肩背包(多款多色任選),43折,"2,999元"
144,Dreame 追覓科技,V9P 無線吸塵器(小米生態鏈),83折,"4,995元"
145,Mavis 瑪薇絲,8件組/銀離子冰絲防夾臀無痕內褲,83折,499元
146,Finders,TPE雙色輔助線瑜珈墊-8色可選(加贈背帶+透氣網袋),58折,499元
147,完美主義,台灣製多功能三層收納推車+專用木板,89折,680元
